r	rk	y	yk	r_gloss	y_gloss
sturm	突	kur	跑	［他］【軍】突撃する,襲撃する,=kurataki	{Ｂ}［自］走る,駆ける;急いで行く;（水などが）流れる
substitu	替	ans	柄	代用の,置き換えの	（水差し・つぼ・引き出し・ドアなどの）取っ手,>>tenilo
sugesti	暗示	sugest	示	（催眠術的な）暗示の,暗示にかける	示唆する,ほのめかす
sum	总	resum	概	合計で,合わせて;=resume（要するに）	
supl	柔	fleks	弯	《稀》=malrigida（柔軟な）,=fleksebla（しなやかな）	=fleksebla（曲げられる）
surf	冲浪	ond	波	［自］波乗りをする,サーフィンをする	波の,波状の
suspir	叹	vesp	蜂	［自］嘆息する,=vespiri	{Ｂ}【虫】スズメバチ（雀蜂）（科の総称）;《般》（大型の）ハチ（蜂）,
svelt	苗条	elegant	雅	すらりとした,すんなりとした,ほっそりした,=elegante mald	{Ｂ}上品な,趣味のよい,優美な
s^pur	距	trak	轨	【鉄】軌間,=traklarg^o;【車】輪距,ゲージ	【史】=traco（トラキア人）
s^utr	百叶窗	fenestr	窗	【建】（窓の）シャッター,よろい戸,=fenestrokovrilo	{Ｂ}窓;【情】ウィンドウ
tabel	表	tabul	板	{Ｂ}表,一覧表,目録,数表;【史】=tabuleto（書字板）	［他］板を張る,=paneli
taks	评	alte	立葵	{Ｂ}［他］評価する,鑑定する,見積もる,査定する;《古》=alte t	{Ｏ}【植】タチアオイ（立葵）（属）
talent	才	tal	距	才能のある,腕のある,有能な	【解】【PIV】(talus) Tarsa osto de la rep
tartr	酒石	dent	齿	【化】酒石;【医】歯石,=dentos^tono	歯の;歯のついた
tau^r	牡牛	vir	男	《稀》雄牛,種牛,=virbovo;【動】ウシ（種）	男の;男のような
televizi	电视	televid	视	=televida（テレビ放送の）	テレビの,テレビ放送の
telfer	缆路	kabl	缆	=kablovojo（ロープウエー）	{Ｏ}太綱,ケーブル;【電】被覆電線,ケーブル
temp	时	port	运	時間の,時の;一時的な,=portempa	{Ｂ}［他］持っている,抱えている;持ち運ぶ,持って行く;身につけている
tensi	压	sang	血	【理】張力,>>strec^o;【機】応力;【電】電圧;【医】緊張;【医	血の,血液の;血まみれの,流血の;血の色をした
tepid	温	varm	暖	《詩》=varmeta（ぬるい）	{Ｂ}暖かい,熱い,暑い;熱のある;《転》熱心な,熱気のある
termin	词	fak	专	{Ｏ}専門用語,術語,=fakvorto	専門の,専門的な
tetra	野鸡	bonazi	鸟	{Ｏ}【鳥】エゾライチョウ（蝦夷雷鳥）（種）,=bonazio	【動】【PIV】Sp. (Specio) (Bonasa bonasia
tez	题	disertaci	论文	{Ｏ}主張,説;【論】命題,定立,提題;【政】テーゼ;【学】=diser	（学術）論文,学位論文,=disertaj^o
timid	怯	sin	怀	《詩》=sing^ena（内気な）	{Ｂ}胸部;懐（ふところ）;胎内;《転》内奥;《転》胸の内
timpan	鼓室	timbal	鼓	【解】鼓室,中耳;【建】ティンパヌム,三角小間;【楽】=timbalo（	【楽】ティンパニ;【料】タンバル（パイの一種）
tin	桶	lign	木	（木の）桶（おけ）,=ligna kuvo	木製の
toast	烤包	rost	烤	【料】トーストパン,=rostpano	{Ｂ}［他］【料】焼く,あぶる,ローストする,煎る;《転》強い熱にさらす
ton	调	tonik	主	{Ｂ}【楽】（一定の音高の）楽音,音;【楽】主音,=toniko;【楽】	【楽】主音の;【薬】強壮にする
tragik	悲剧	tragedi	悲	{Ｂ}悲惨な,悲劇的な,=tragedia	悲劇の;悲劇的な,悲惨な
transpon	转	ali	别	［他］【楽】移調する,=aligamigi;【数】（行列を）転置する	{Ｂ}ほかの,別の,その他の;もう一つの
trop	喻	vort	词	{Ｏ}【修】言葉のあや,（語の）転用,比喩,=vortfiguro	語の,言葉の;言葉だけの
trumpet	小号	distr	散	［自］らっぱを吹く,トランペットを吹く;=distrumpeti	気晴らしの
tuc^	墨	lav	洗	［他］墨でかく;（水彩で）薄く塗る,=lavumi	{Ｂ}［他］洗う,洗濯する,洗浄する,洗い落とす;清める
turment	虐	tortur	拷	苦しめる,悩ます	{Ｏ}［他］拷問する
turne	巡	rond	圆	【劇】=rondiro（巡業）	円形の,丸い
