層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	matur	6	0.833	11	0.545	0.65
tier0_CSV2890	abstrakt	7	1.000	6	0.667	0.67
tier0_CSV2890	agrabl	5	1.000	3	0.667	0.67
tier0_CSV2890	pilk	1	1.000	9	0.667	0.67
tier0_CSV2890	vost	4	0.750	18	0.500	0.67
tier0_CSV2890	dom	11	0.273	55	0.182	0.67
tier0_CSV2890	regn	6	0.833	9	0.556	0.67
tier0_CSV2890	bio	4	1.000	21	0.667	0.67
tier0_CSV2890	apetit	6	1.000	3	0.667	0.67
tier0_CSV2890	vulp	2	0.500	6	0.333	0.67
tier0_CSV2890	list	5	1.000	9	0.667	0.67
tier0_CSV2890	model	8	0.500	3	0.333	0.67
tier0_CSV2890	au^tor	2	0.500	3	0.333	0.67
tier0_CSV2890	s^ose	1	1.000	3	0.667	0.67
tier0_CSV2890	etat	2	0.500	3	0.333	0.67
tier0_CSV2890	bug^et	4	1.000	6	0.667	0.67
tier0_CSV2890	ceremoni	4	1.000	6	0.667	0.67
tier0_CSV2890	cindr	8	0.500	9	0.333	0.67
tier0_CSV2890	c^ap	2	1.000	6	0.667	0.67
tier0_CSV2890	funel	1	1.000	3	0.667	0.67
tier0_CSV2890	ekskluziv	6	0.500	3	0.333	0.67
tier0_CSV2890	ekzempl	3	1.000	3	0.667	0.67
tier0_CSV2890	proviz	8	0.250	6	0.167	0.67
tier0_CSV2890	suc^	8	0.750	10	0.500	0.67
tier0_CSV2890	verm	3	1.000	9	0.667	0.67
tier0_CSV2890	fantom	4	1.000	3	0.667	0.67
tier0_CSV2890	fianc^	10	1.000	3	0.667	0.67
tier0_CSV2890	river	4	0.750	8	0.500	0.67
tier0_CSV2890	kompetent	4	0.750	2	0.500	0.67
tier0_CSV2890	ver	8	0.625	12	0.417	0.67
tier0_CSV2890	serpent	5	1.000	6	0.667	0.67
tier0_CSV2890	minut	3	1.000	3	0.667	0.67
tier0_CSV2890	lup	3	1.000	3	0.667	0.67
tier0_CSV2890	uniform	2	1.000	3	0.667	0.67
tier0_CSV2890	perfekt	8	1.000	3	0.667	0.67
tier0_CSV2890	flor	14	1.000	37	0.676	0.68
tier0_CSV2890	tub	7	1.000	44	0.682	0.68
tier0_CSV2890	fal	21	0.667	22	0.455	0.68
tier0_CSV2890	pak	10	0.900	13	0.615	0.68
tier0_CSV2890	kolekt	16	0.938	20	0.650	0.69
tier0_CSV2890	pied	9	0.778	39	0.538	0.69
tier0_CSV2890	sent	21	0.952	21	0.667	0.70
tier0_CSV2890	teren	1	1.000	10	0.700	0.70
tier0_CSV2890	kolon	8	1.000	10	0.700	0.70
tier0_CSV2890	cifer	5	0.800	16	0.562	0.70
tier0_CSV2890	blank	8	1.000	40	0.700	0.70
tier0_CSV2890	fald	10	1.000	10	0.700	0.70
tier0_CSV2890	sek	14	0.357	16	0.250	0.70
tier0_CSV2890	afer	3	0.667	17	0.471	0.71
tier0_CSV2890	amik	11	0.909	17	0.647	0.71
tier0_CSV2890	kvant	3	1.000	14	0.714	0.71
tier0_CSV2890	lan	4	1.000	14	0.714	0.71
tier0_CSV2890	san	12	0.833	17	0.588	0.71
tier0_CSV2890	pres	18	0.667	17	0.471	0.71
tier0_CSV2890	kron	8	0.375	15	0.267	0.71
tier0_CSV2890	kombin	6	1.000	7	0.714	0.71
tier0_CSV2890	relativ	6	1.000	14	0.714	0.71
tier0_CSV2890	rok	3	1.000	14	0.714	0.71
