sargas	{Ｏ}【植】ホンダワラ属（の海藻）
brusoneti	【植】【PIV】G. (Genro) (Broussonetia el morusacoj) de falfoliaj, dioikaj, laktosukohavaj arboj k trunkarbustoj kun dentaj, lobaj au^ senlobaj folioj diversformaj c^
bucer	【動】【PIV】G. (Genro) (Buceros) de birdoj el la fam. (familio) de upupedoj, vivantaj en SE Azio, karakterizata de granda elkreskaj^o sur la beko, pro kiu g^i nomig
budle	【植】【PIV】G. (Genro) (Buddleja el budleacoj) de arboj k trunkarbustoj kun kvarflankaj s^osoj, lancetformaj folioj k infloreskoj (spikoj, panikloj au^ glomeruloj),
buftalm	【植】【PIV】G. (Genro) (Buphthalmum el asteracoj) de plurjaraj herboj kun flavaj, radiaj kapituloj similaj al tiuj de astero; 2 sp-oj (specioj) el Eu^ropo k U Azio,
bugenvil	【植】【PIV】G. (Genro) (Bougainvillea el niktagacoj) de grimpaj arbustoj kun pli-malpli dornaj tigoj, kun integraj folioj k kun tubformaj, ne tre okulfrapaj floroj 
bungar	【動】【PIV】G. (Genro) (Bungarus) de serpentoj el la fam. (familio) de elapedoj, vivantaj en S Azio, sin nutrantaj precipe per aliaj serpentoj, lacertoj k amfibioj;
bupleu^r	【植】【PIV】G. (Genro) (Bupleurum el apiacoj) de plantoj - unu-, du-k plur-jaraj herboj k tufarbustoj - kun integraj folioj k kun flavaj au^ verdetaj floroj en umbe
buprest	【動】【PIV】Insekto (Buprestis k parencaj g-oj (genroj)) el la ordo de koleopteroj; vivas precipe en varmaj landoj, havas brilajn metalkolorojn, mang^as polenon k m
butom	【植】【PIV】G. (Genro) (Butomus el butomacoj) de nur unu sp. (B. umbellatus), plurjara herbo kun longaj (preskau^ 1 m), mallarg^aj folioj k kun 3-nombraj, helrug^aj
cece	【動】【PIV】Vulgara nomo de la glosino.
cecidomi	【動】【PIV】Insekto (Cecidomyia k parencaj g-oj (genroj)) el la ordo de dipteroj, iom parenca al kulo; la larvo de multaj sp-oj (specioj) estigas gajlojn c^e divers
cedrel	【植】【PIV】G. (Genro) (Cedrela el meliacoj) de arboj similaj al ailanto, kun longaj plume kunmetaj folioj, kiuj same kiel la ligno enhavas aromajn substancojn; 8 s
ceib	【植】【PIV】G. (Genro) (Ceiba el bombakacoj) de tropikaj falfoliaj arboj, parenca al baobabo k bombako; 11 sp-oj (specioj) el Afriko k precipe Ameriko, el kiuj C. p
celastr	【植】【PIV】G. (Genro) (Celastrus el celastracoj) de tropikaj k subtropikaj lianoj kun fruktoj similaj al tiuj de evonimo; 32 sp-oj (specioj), kelkaj kultivataj por
celtid	【植】【PIV】G. (Genro) (Celtis el ulmacoj) de arboj k trunkarbustoj, fal-au^ dau^ra-foliaj, g^enerale monoikaj, kun alternaj, integraj au^ segildentaj, ofte nesimet
centau^ri	【植】【PIV】G. (Genro) (Centaurium el gencianacoj) de unu-, du-k plur-jaraj herboj kun integraj, senpetiolaj folioj k kun cumo el purpuraj, rozaj au^ malofte flavaj
centipeli	【動】【PIV】(centipellio) La dua stomaka pos^o de la remac^uloj, trovig^anta post la rumeno. Sin. (sinonimo) retostomako. Vd abomaso, omaso, rumeno.
centrant	【植】【PIV】G. (Genro) (Centranthus el valerianacoj) de unu-, du-k plur-jaraj herboj, kies floroj, cume arig^intaj, havas tubforman k spronohavan korolon k nur unu 
cepol	【動】【PIV】G. (Genro) (Cepola) de maraj fis^oj el la ordo de perkoformaj, kiuj havas tre malgrandajn skvamojn, longan, rubandforman korpon, pintan voston k longajn
cerami	【植】【PIV】G. (Genro) (Ceramium el ceramiacoj) de maraj rug^algoj kun talo fajne k multe branc^a; c^. (c^irkau^) 190 sp-oj (specioj) el la tuta mondo.
cerast	【動】【PIV】G. (Genro) (Cerastes) de malgrandaj N-Afrikaj k SU-Aziaj serpentoj el la fam. (familio) de vipuredoj, kiuj vivas kas^ite en la sablo; iliaj okuloj estas
cerasti	【植】【PIV】G. (Genro) (Cerastium el kariofilacoj) de unu-k plur-jaraj herboj malgrandaj, g^enerale vilaj, kun mallarg^aj, integraj folioj k kun kvinnombraj floroj,
ceratofil	【植】【PIV】G. (Genro) (Ceratophyllum el ceratofilacoj) de plurjaraj dolc^akvaj plantoj g^enerale senradikaj, kreskantaj sub la akvosurfaco, kun verticilaj, disdue 
ceratoni	【植】【PIV】G. (Genro) (Ceratonia el fabacoj) de du sp-oj (specioj) originaj el Arabio k Somalio; pli konata sp.: C. siliqua, disvastig^inta en la Mediteranea regio
cercid	【植】【PIV】G. (Genro) (Cercis el fabacoj) de falfoliaj arboj k trunkarbustoj kun rozaj, violetaj au^ blankaj floroj ofte elbranc^aj, aperantaj antau^ au^ kun la fo
cercidifil	【植】【PIV】G. (Genro) (Cercidiphyllum el cercidifilacoj) de dioikaj arboj au^ (kiam kultivataj) trunkarbustoj; 2 sp-oj (specioj) el C^inio k Japanio, kultivataj po
cerkari	【動】【PIV】Vostohava larvo de iuj trematodoj, i.a. (interalie, inter aliaj) fasciolo.
certi	【動】【PIV】G. (Genro) (Certhia) de birdoj el la ordo de paseroformaj, kun longa, kurba beko, grimpantaj sur arboj. Sin. (sinonimo) arbogrimpulo.
cestr	【植】【PIV】G. (Genro) (Cestrum el solanacoj) de staraj au^ grimpaj arbustoj kun alternaj, simplaj folioj, kun tubformaj floroj en akselaj au^ apeksaj panikloj au^ 
ceterak	【植】【PIV】Sp. (Specio) de asplenio (Asplenium ceterach), filiko kun longformaj, plume sed alterne kvazau^dividaj folioj, malsupraflanke kovritaj de orflavaj au^ r
cetoni	【動】【PIV】G. (Genro) (Cetonia) de insektoj el la ordo de koleopteroj, parenca al skarabo; la sp-oj (specioj) estas verdaj k ne levas la elitrojn flugante.
cetrari	【植】【PIV】G. (Genro) (Cetraria el parmeliacoj) de arbustecaj au^ foliecaj likenoj; kosmopolita g. (genro) de c^. (c^irkau^) 15 sp-oj (specioj)
cezalpini	【植】【PIV】G. (Genro) (Caesalpinia el fabacoj) de arboj k trunkarbustoj kun plejofte dornaj branc^oj, kun duoble plume kunmetaj folioj k kun rug^aj au^ orang^kolor
ciane	【動】【PIV】G. (Genro) (Cyanea) de celenteruloj el la klaso de grandmeduzoj, kies ordinara sp. estas bruneta k produktas fortan brulsenton sur la homa hau^to. Sin. 
cicindel	【動】【PIV】G. (Genro) (Cicindela) de insektoj el la ordo de koleopteroj, kiuj havas longan, mallarg^an korpon, k vivas precipe en varmaj landoj, la larvoj en sablo
cikas	【植】【PIV】G. (Genro) (Cycas el cikasacoj el gimnospermoj) de dioikaj arboj kun cilindra, g^enerale senbranc^a trunko k kun plume dividaj, ledecaj folioj, kiuj sim
cimbalari	【植】【PIV】G. (Genro) (Cymbalaria el skrofulariacoj), parenca al linario, diferenca de g^i i.a. (interalie, inter aliaj) pro mane lobaj folioj iom similaj al tiuj 
cimbidi	【植】【PIV】G. (Genro) (Cymbidium el orkidacoj) de 44 sp-oj (specioj) de plurjaraj epifitaj herboj, hejmaj de tropika Azio g^is Au^stralio, pluraj kultivataj por ri
cimbopogon	【植】【PIV】G. (Genro) (Cymbopogon el poacoj) de plurjaraj, aromaj herboj ric^aj je esencoj (geraniolo, citralo k.a. (kaj aliaj)); 56 sp-oj (specioj) el la varmaj r
cimicifug	【植】【PIV】G. (Genro) (Cimicifuga el ranunkolacoj), tre parenca al akteo, de staraj, plurjaraj herboj kun duoble plume kunmetaj folioj k kun densaj longpedunklaj i
cinamom	【植】【PIV】G. (Genro) (Cinnamomum el lau^racoj) de dau^rafoliaj arboj k trunkarbustoj kun folioj g^enerale havantaj 3−5 paralelajn c^efripojn, kun malgrandaj floro
cinar	【植】【PIV】G. (Genro) (Cynara el asteracoj) de plurjaraj herboj kun rozeto el suprendirektaj, grandaj, plume lobaj folioj k kun 3−20-opaj kapituloj el grandaj brak
cinerari	【植】【PIV】1 Hibrido (Pericallis × (hibrido (en latinscienca nomo)) hybrida el asteracoj), plurjara herbo kun longpetiolaj, larg^e korformaj, pli-malpli lobaj foli
cinodont	【植】【PIV】G. (Genro) (Cynodon el poacoj) kosmopolita de 8 sp-oj (specioj) de plurjaraj, rizomaj herboj, kies infloresko konsistas el 3−7 fingroformaj diverg^aj sp
cinoglos	【植】【PIV】G. (Genro) (Cynoglossum el boragacoj) de unu-k precipe du-k plur-jaraj herboj pli-malpli haraj, kun skorpioida cumo, kies floroj havas cilindran korolon
cinozur	【植】【PIV】G. (Genro) (Cynosurus el poacoj) de unu-k plur-jaraj herboj kun spiketoj duspecaj (florohavaj k senfloraj), arig^intaj en fasketojn, kiuj formas spik-au
cipripedi	【植】【PIV】G. (Genro) (Cypripedium el orkidacoj) de plurjaraj herboj kun floroj de karakteriza konsisto: unu meza suprendirekta sepalo, du flankaj malsuprendirekta
circe	【植】【PIV】G. (Genro) (Circaea el onagracoj) de plurjaraj herboj kun subteraj stolonoj, kun staraj tigoj, kun petiolaj, ovalaj folioj, kun malgrandaj, blankaj au^ 
cirkaet	【動】【PIV】G. (Genro) (Circaetus) de rabobirdoj (el la fam. (familio) de akcipitredoj) kun strigosimila kapo, blankaj brusto k ventro; parenca al cirkuo. Sin. (sin
cirku	【動】【PIV】G. (Genro) (Circus) de birdoj el la ordo de falkoformaj, fam. (familio) de akcipitredoj, similaj al akcipitro, sed kun mallonga, malforta beko k pli-mal
cirsi	【植】【PIV】G. (Genro) (Cirsium el asteracoj) de unu-, du-k plur-jaraj herboj kun g^enerale dornaj tigoj k folioj, kun violetaj, flavaj au^ malofte blankaj, tubetfl
cistopterid	【植】【PIV】G. (Genro) (Cystopteris el driopteridacoj) de malgrandaj filikoj kun 2−4-oble plume dividaj, tre maldikaj folioj k kun rondformaj soroj unuope kovritaj 
citin	【植】【PIV】G. (Genro) (Cytinus el rafleziacoj) de 8 sp-oj (specioj) de parazitaj plantoj el la Mediteranea regiono, SU Azio, Kau^kazo, Kanarioj, S Afriko k Madagas
citokinin	【植】【化】【PIV】(kn (kolektiva nomo)) Vegetaj^a hormono (derivaj^o el adenino), kiu reguligas la kreskadon de la embriaj histoj precipe per stimulado de la mitozoj.
citrol	【植】【PIV】G. (Genro) (Citrullus el kukurbacoj) de monoikaj au^ dioikaj, unu-au^ plur-jaraj lianoj kun c^iroj, kun unuope akselaj floroj k kun fruktoj (peponedoj) 
civetikt	【動】【PIV】Rabobesto (unuspecia g. (genro) Civettictis civetta, sin. (sinonimo (de latinscienca nomo)) Viverra c.) el la fam. (familio) de viveredoj, vivanta en Af
c^ampinjon	【植】【PIV】Sp. (Specio) de agariko (duspora agariko), mang^ebla fungo kultivata, tre uzata en kuirarto: c^ampinjonsupo, c^ampinjonsalato, c^ampinjonomleto, farc^it
c^at	【植】【PIV】G. (Genro) (Catha el celastracoj) de nur unu sp. (C. edulis) de arbo, hejma de SU Arabio g^is S Afriko, kultivata (kiel trunkarbusto au^ arbeto) en Etio
c^eti	【動】【PIV】1 G. (Genro) (Cettia) de malgrandaj birdoj el la ordo de paseroformaj, fam. (familio) de silviedoj. Vd ugviso. 2 Sp. (Specio) de c^etio (C. cetti), lau^
c^ifc^af	【動】【PIV】Sp. (Specio) de filoskopo (Phylloscopus collybita), birdo distingebla disde fitiso pro kanto k malhelkoloraj kruroj.
c^ik	【動】【PIV】Tropika insekto (unuspecia g. (genro) Tunga penetrans) el la ordo de afanipteroj; la ino eniras borante la hau^ton de la hompiedoj k estigas abscesojn k
c^inc^il	【動】【PIV】G. (Genro) (Chinchilla) de mamuloj el la ordo de rong^uloj, kun larg^aj, rondaj oreloj k mola, tre valora felo cindrokolora: mantelo el c^inc^ila pelto.
dafni	【動】【PIV】Malgranda nesalakva krustaco (Daphnia k parencaj g-oj (genroj)) el la subklaso de brankiopodoj, nag^anta per la dua paro de antenoj. Sin. (sinonimo) akv
dafodil	【植】【PIV】Sp. (Specio) de sovag^a narciso (Narcissus pseudonarcissus) kun nur unu granda, senodora, ore flava floro, karakterizata de granda kromkorola tubo; hejm
daktilis	【植】【PIV】G. (Genro) (Dactylis el poacoj) de 1−5 sp-oj (specioj) de plurjaraj herboj el Eu^ropo, Azio k N Afriko.
dalbergi	【植】【PIV】G. (Genro) (Dalbergia el fabacoj) de tropikaj plantoj - arbetoj, trunkarbustoj k lignecaj lianoj - kun folioj nepare plume kunmetaj; c^. (c^irkau^) 100 
damar	【植】【PIV】1 Sp. (Specio) de agatido (Agathis dammara) el Malajzio, kultivata por ligno k Manila kopalo. 2 (ark. (arkaismo, arkaisme)) Agatido.
dau^k	【植】【PIV】G. (Genro) (Daucus el apiacoj) de unu-k precipe du-jaraj herboj kun 2−3-oble plume dividaj folioj, kun malgrandaj blankaj au^ flavetaj floroj en kunmeta
davali	【植】【PIV】G. (Genro) (Davallia el davaliacoj) de 34 sp-oj (specioj) de tropikaj k subtropikaj filikoj el la Malnova Mondo, pluraj pororname kultivataj.
delonik	【植】【PIV】G. (Genro) (Delonix el fabacoj) de arboj kun okulfrape koloraj floroj en apeksaj grapoloj; 12 sp-oj (specioj) el tropika Afriko, Madagaskaro k Hindio.
dendrolag	【動】【PIV】G. (Genro) (Dendrolagus) de relative malgrandaj kanguruoj, kiuj povas grimpi sur arboj au^ salti sur grundo k vivas en Au^stralio k Novgvineo.
densteti	【植】【PIV】G. (Genro) (Dennstaedtia el denstetiacoj) de c^. (c^irkau^) 45 sp-oj (specioj) de filikoj el la tropikaj k subtropikaj regionoj.
deodar	【植】【PIV】Himalaja cedro.
der	【植】【PIV】G. (Genro) (Derris el fabacoj) de c^. (c^irkau^) 40 sp-oj (specioj) de tropikaj lignecaj plantoj, grimpaj au^ ne, kies radikoj produktas insekt-k fis^-i
dermest	【動】【PIV】G. (Genro) (Dermestes) de insektoj el la ordo de koleopteroj; iuj sp-oj (specioj) vivas en homaj log^ejoj k atakas viandon k lardon.
desmod	【動】【PIV】G. (Genro) (Desmodus) de mamuloj el la ordo de kiropteroj (vespertuloj), vivantaj en S k C Ameriko, k suc^antaj sangon de homoj k bestoj. Vd vampiro.
diapau^z	【動】【PIV】Portempa (de kelkaj semajnoj g^is kelkaj jaroj) malpliig^o au^ c^eso de la disvolvig^o c^e iuj insektoj, kiu ne dependas nur de mediaj faktoroj. Vd kvie
did	【動】【PIV】Sp. (Specio) (Raphus cucullatus) de granda, dika ne flugkapabla birdo, el la ordo de kolomboformaj, kiu vivis en Mau^ricio k najbaraj insuloj k kiun eks
difenbaki	【植】【PIV】G. (Genro) (Dieffenbachia el arumacoj) de tre venenaj, plurjaraj herboj kun fortika tigo 2−2,5 m alta, c^esupre portanta integrajn, verdajn foliojn ofte
difilobotri	【動】【PIV】Sp. (Specio) (Diphyllobothrium latum, sin. (sinonimo (de latinscienca nomo)) Botriocephalum latus) de plathelminto el la klaso de cestodoj, vermo parenc
digitari	【植】【PIV】G. (Genro) (Digitaria el poacoj) de unu-k plur-jaraj herboj kun infloresko el spikoj fingroarang^aj; c^. (c^irkau^) 220 sp-oj (specioj) el la mezvarmaj 
diktamn	【植】【PIV】1 G. (Genro) (Dictamnus el rutacoj) de nur unu sp. (D. albus). Vd fraksinelo. 2 Sp de origano (Origanum dictamnus), plurjara herbo el la montaroj de Gre
dileni	【植】【PIV】G. (Genro) (Dillenia el dileniacoj) de dau^rafoliaj arboj k trunkarbustoj kun floroj tre grandaj (15−25 cm (centimetro) diametraj c^e iuj sp-oj (specioj
ding	【動】【PIV】Sovag^a Au^stralia hundo (Canis lupus dingo), el la g. (genro) kaniso, enkondukita antau^ c^. (c^irkau^) 4000 j.
diodont	【動】【PIV】G. (Genro) (Diodon) de globformaj tropikaj marfis^oj, kies skvamoj formas longajn pikilojn.
diomede	【動】【PIV】Albatroso.
dione	【植】【PIV】G. (Genro) (Dionaea el drozeracoj) de nur unu sp. (D. muscipula) el SE Usono, insekto-kaptanta k -mang^anta herbo, malalta, plurjara, kun baza rozeto el
dioskore	【植】【PIV】G. (Genro) (Dioscorea el dioskoreacoj) de alten volvig^antaj, plurjaraj, poligamiaj herboj kun tuberforma radiko, ofte kun surtigaj akselaj bulbiloj k k
dipterik	【植】【PIV】G. (Genro) (Dipteryx el fabacoj) de dau^rafoliaj arboj kun plume kunmetaj folioj k ovoidaj, nedehiskaj gus^oj unusemaj; 10 sp-oj (specioj) el tropika Am
ditisk	【動】【PIV】G. (Genro) (Dytiscus) de insektoj el la ordo de koleopteroj, kiuj vivas nag^ante en nesala akvo.
dolikot	【動】【PIV】G. (Genro) (Dolichotis) de S-Amerikaj mamuloj el la ordo de rong^uloj, fam. (familio) de kaviedoj, i.a. (interalie, inter aliaj) la Patagonia dolikoto a
donak	【植】【PIV】Sp. (Specio) de arundo (Arundo donax) el la Mediteranea regiono, kultivata k uzata kiel ornamplanto au^ por konstrui i.a. (interalie, inter aliaj) kontr
dorid	【動】【PIV】Nudbranka mara gastropodo (Doris k parencaj g-oj (genroj)), kiu havas la brankojn c^irkau^ la anuso.
drab	【植】【PIV】G. (Genro) (Draba el brasikacoj) de unu-, du-k precipe plur-jaraj, malaltaj herboj kun elbaza, densa folirozeto, kun apeksa grapolo el malgrandaj, blank
drimi	【植】【PIV】G. (Genro) (Drimia el hiacintacoj) de plurjaraj herboj kun tunika bulbo; c^. (c^irkau^) 120 sp-oj (specioj) el S Eu^ropo, Afriko k Azio, pluraj porornam
drimis	【植】【PIV】G. (Genro) (Drimys el Winteraceae) de dau^rafoliaj arboj k trunkarbustoj kun bonodoraj floroj; 6 sp-oj (specioj) hejmaj en tropika Ameriko k de Malajzio
driopterid	【植】【PIV】G. (Genro) (Dryopteris el driopteridacoj) de filikoj kun 1−4-oble plume kunmetaj folioj, portantaj rondajn sorojn, unuope kovritajn de renforma induzio;
dromi	【動】【PIV】G. (Genro) (Dromia) de kraboj, kiuj portas vivantajn spongojn kiel kamuflilon.
dromice	【動】【PIV】G. (Genro) (Dromiceius) de brunkoloraj Au^straliaj birdoj el la ordo de kazuaroformaj. Vd kazuaro, reao, struto.
drozer	【植】【PIV】G. (Genro) (Drosera el drozeracoj) de plurjaraj herboj insektomang^antaj, kun baza rozeto el folioj, kiuj dense surhavas gluajn glandoharojn, al kiuj in
dugong	【動】【PIV】Unuspecia g. (genro) (Dugong dugong) de sirenoj; pluraj subsp-oj, vivantaj sur la marbordoj de E Afriko, SE Azio k NE Au^stralio. Vd manato.
duri	【植】【PIV】G. (Genro) (Durio el bombakacoj) de dau^rafoliaj arboj k trunkarbustoj kun simplaj, integraj folioj k kun grandaj kapsuloj, enhavantaj semojn po pluraj,
eci	【植】【PIV】Sporujo de rustofungoj (uredaloj), kiu naskas ecisporojn. Sin. (sinonimo) sporpokalo.
ecidi	【植】【PIV】1 Grupo (eksa g. (genro) Aecidium) de neperfektaj rustofungoj (uredaloj). 2 (evi (evitinda)) = ecio.
efedr	【植】【PIV】G. (Genro) (Ephedra el efedracoj) de evoluintaj, monoikaj gimnospermoj - lianoj, arbustoj k arbustetoj - kun verdaj, fotosintezantaj tigoj, kun frue def
egilop	【植】【PIV】G. (Genro) (Aegilops el poacoj) de unujaraj herboj kun pluraristaj spiketoj; 21 sp-oj (specioj) el Eu^ropo, U k C Azio k N Afriko.
eglanteri	【植】【PIV】Sp. (Specio) de sovag^a rozo (Rosa rubiginosa, sin. (sinonimo (de latinscienca nomo)) R. eglanteria) el Eu^ropo, tre kultivata por aroma foliaro. Vd hun
ejs^horni	【植】【PIV】G. (Genro) (Eichhornia el pontederiacoj) de 7 sp-oj (specioj) de flosantaj akvoherboj el tropika Ameriko.
ekbali	【植】【PIV】G. (Genro) (Ecballium el kukurbacoj) de nur unu sp. (E. elaterium), plurjara, Mediteranea herbo kun mezgrandaj, ovalaj beroj; c^e maturig^o la bero malf
ekidn	【動】【PIV】Kn (Kolektiva nomo) de mamuloj (« Echidna», ampleksanta la g-ojn Tachyglossus k Zaglossus) el la ordo de kloakuloj, kiuj naskas ovojn, havas erinacosimi
ekinokok	【動】【PIV】G. (Genro) (Echinococcus) de plathelmintoj el la klaso de cestodoj, kies tre malgranda, plenkreska formo vivas en la intesto de hundo k.a. (kaj aliaj) k
ekinops	【植】【PIV】G. (Genro) (Echinops el asteracoj) de du-k plur-jaraj herboj g^enerale dornaj k aspektantaj kiel karduoj, sed kun floroj en globaj kapituloj; c^. (c^irk
ekv	【動】【PIV】G. (Genro) (Equus) de mamuloj el la ordo de neparhufuloj, al kiu apartenas azeno, c^evalo, hemiono, kiango, zebro k.a. (kaj aliaj) sp-oj (specioj).
ekzocet	【動】【軍】【PIV】1 G. (Genro) (Exocoetus) de flugfis^oj. 2 Misilo mempropulsa, mar-mara au^ aer-mara, tera.
elafr	【動】【PIV】G. (Genro) (Elaphrus) de malgrandaj insektoj el la ordo de koleopteroj, kun grandaj okuloj k mallarg^a talio; vivas sur la N duonglobo. Vd karabo.
elani	【動】【PIV】G. (Genro) (Elanus), parenca al milvo, de rabobirdoj el la fam. (familio) de akcipitredoj.
elatin	【植】【PIV】G. (Genro) (Elatine el elatinacoj) de malgrandaj, unu-k plur-jaraj, rampaj, akvejaj herboj kun sidaj, kontrau^e duopaj au^ verticilaj folioj, kun malgra
